minute,gpu_util,cpu_util,mem_pressure,temperature,ecc_event,network_state,throughput_factor,recovery_loss_potential,latent_risk_score,warning_window,gpu_util_mean_15m,gpu_util_mean_60m,gpu_util_mean_180m,gpu_util_std_60m,temp_mean_15m,temp_mean_60m,temp_mean_180m,temp_std_60m,mem_mean_60m,throughput_mean_60m,ecc_count_15m,ecc_count_60m,ecc_count_180m,degraded_mins_60m,severe_mins_180m,temp_delta_60m,gpu_delta_30m,mins_above_90_gpu_180m,mins_above_85_temp_180m
20,59.54,53.88,30.83,79.18,0,1.0,59.54,20,0.0157813199659927,0,56.47666666666667,55.417142857142856,55.417142857142856,14.717514784384335,71.768,68.46142857142857,68.46142857142857,14.674944390257252,54.34809523809523,55.417142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
21,76.84,26.88,47.05,55.32,0,1.0,76.84,21,0.0157813199659927,0,57.77666666666666,56.39090909090908,56.39090909090908,15.071548063784327,70.32666666666667,67.8640909090909,67.8640909090909,14.592769135395825,54.01636363636363,56.39090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
22,63.0,60.86,57.76,66.66,0,1.0,63.0,22,0.0157813199659927,0,58.89199999999999,56.678260869565214,56.678260869565214,14.789375379327959,70.43599999999999,67.81173913043479,67.81173913043479,14.259468832442503,54.17913043478261,56.678260869565214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
23,46.95,37.46,66.3,59.68,0,1.0,46.95,23,0.0157813199659927,0,59.552,56.27291666666667,56.27291666666667,14.59996946964249,71.036,67.47291666666666,67.47291666666666,14.044469584352306,54.68416666666667,56.27291666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
24,34.21,28.08,74.93,59.35,0,1.0,34.21,24,0.0157813199659927,0,57.40266666666666,55.3904,55.3904,14.95822083894561,69.55199999999999,67.148,67.148,13.844412832137975,55.494,55.3904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
25,65.61,31.86,46.27,51.41,0,1.0,65.61,25,0.0157813199659927,0,58.674,55.78346153846154,55.78346153846154,14.792409118817043,68.104,66.5426923076923,66.5426923076923,13.911412166330866,55.13923076923077,55.78346153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
26,58.42,24.68,48.39,79.25,0,1.0,58.42,26,0.0157813199659927,0,58.19133333333333,55.88111111111111,55.88111111111111,14.514022485787624,67.226,67.01333333333334,67.01333333333334,13.858737593745962,54.88925925925926,55.88111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
27,58.85,44.63,39.76,64.64,0,1.0,58.85,27,0.0157813199659927,0,59.75533333333333,55.98714285714285,55.98714285714285,14.253755283522294,66.874,66.92857142857143,66.92857142857143,13.60706698585966,54.34892857142857,55.98714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
28,38.86,67.02,77.7,60.62,0,1.0,38.86,28,0.0157813199659927,0,59.583333333333336,55.39655172413793,55.39655172413793,14.35369720312557,66.962,66.71103448275862,66.71103448275862,13.413129320831134,55.154137931034484,55.39655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
29,44.72,39.25,72.56,73.16,0,1.0,44.72,29,0.0157813199659927,0,57.660000000000004,55.04066666666667,55.04066666666667,14.238111297968329,65.434,66.926,66.926,13.23232708180991,55.73433333333333,55.04066666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
30,64.8,48.5,34.86,86.87,0,1.0,64.8,30,0.0207787757220915,0,55.63933333333333,55.35548387096774,55.35548387096774,14.108109686443866,65.43333333333334,67.56935483870969,67.56935483870969,13.494038173821767,55.060967741935485,55.35548387096774,0.0,0.0,0.0,0.0,0.0,0.0,16.07,1.0,4.0
31,44.68,60.47,70.51,65.0,0,1.0,44.68,31,0.0207787757220915,0,55.54066666666667,55.021875,55.021875,14.006412457133871,65.56533333333333,67.4890625,67.4890625,13.282376477844373,55.54375,55.021875,0.0,0.0,0.0,0.0,0.0,0.0,-20.720000000000006,1.0,4.0
32,69.91,52.5,65.1,68.8,0,1.0,69.91,32,0.0207787757220915,0,56.16933333333334,55.4730303030303,55.4730303030303,14.027324558885173,67.22933333333334,67.52878787878787,67.52878787878787,13.07518373617933,55.833333333333336,55.4730303030303,0.0,0.0,0.0,0.0,0.0,0.0,24.699999999999996,1.0,4.0
33,31.8,43.28,57.13,68.74,0,1.0,31.8,33,0.0207787757220915,0,54.658,54.77676470588236,54.77676470588236,14.397428583665452,67.99066666666666,67.56441176470588,67.56441176470588,12.87722636029991,55.8714705882353,54.77676470588236,0.0,0.0,0.0,0.0,0.0,0.0,-37.46000000000001,1.0,4.0
34,71.13,38.01,36.35,61.84,0,1.0,71.13,34,0.0207787757220915,0,55.288000000000004,55.244,55.244,14.450955433505998,66.70133333333334,67.40085714285715,67.40085714285715,12.723288367822066,55.31371428571428,55.244,0.0,0.0,0.0,0.0,0.0,0.0,37.879999999999995,1.0,4.0
35,56.57,47.03,61.87,77.84,0,1.0,56.57,35,0.0207787757220915,0,55.09,55.280833333333334,55.280833333333334,14.244731632632266,66.612,67.69083333333333,67.69083333333333,12.660330479775906,55.49583333333333,55.280833333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.8100000000000023,1.0,4.0
36,90.25,33.54,99.44,87.34,0,1.0,90.25,36,0.0252299902129145,0,55.984,56.22594594594595,56.22594594594595,15.17648591653466,68.74666666666667,68.22189189189189,68.22189189189189,12.894436534550223,56.68351351351351,56.22594594594595,0.0,0.0,0.0,0.0,0.0,0.0,32.91,2.0,5.0
37,57.46,55.73,63.01,81.92,0,1.0,57.46,37,0.0252299902129145,0,55.61466666666666,56.25842105263158,56.25842105263158,14.971331978929886,69.764,68.58236842105264,68.58236842105264,12.911647880721212,56.85,56.25842105263158,0.0,0.0,0.0,0.0,0.0,0.0,11.189999999999998,2.0,5.0
38,60.59,40.98,42.39,65.15,0,1.0,60.59,38,0.0252299902129145,0,56.524,56.36948717948717,56.36948717948717,14.789301244786445,70.12866666666667,68.49435897435897,68.49435897435897,12.752474640111764,56.47923076923077,56.36948717948717,0.0,0.0,0.0,0.0,0.0,0.0,23.540000000000006,2.0,5.0
39,38.66,41.69,49.93,88.09,0,1.0,38.66,39,0.0315592897914857,0,56.82066666666666,55.926750000000006,55.926750000000006,14.864581615456393,72.04466666666667,68.98425,68.98425,12.963620277728294,56.3155,55.926750000000006,0.0,0.0,0.0,0.0,0.0,0.0,-27.790000000000006,2.0,6.0
40,55.16,62.82,62.93,71.8,0,1.0,55.16,40,0.0315592897914857,0,56.124,55.9080487804878,55.9080487804878,14.678086765568635,73.40400000000001,69.0529268292683,69.0529268292683,12.808100609360945,56.47682926829269,55.9080487804878,0.0,0.0,0.0,0.0,0.0,0.0,8.619999999999997,2.0,6.0
41,58.77,39.41,62.16,58.92,0,1.0,58.77,41,0.0315592897914857,0,56.147333333333336,55.976190476190474,55.976190476190474,14.504704863676,72.04866666666666,68.81166666666667,68.81166666666667,12.747194032062778,56.61214285714286,55.976190476190474,0.0,0.0,0.0,0.0,0.0,0.0,-6.8899999999999935,2.0,6.0
42,91.01,65.27,85.27,87.62,0,1.0,91.01,42,0.0348756494701648,0,58.291333333333334,56.790930232558146,56.790930232558146,15.294466290592306,73.58066666666667,69.24906976744187,69.24906976744187,12.917002234772271,57.278604651162794,56.790930232558146,0.0,0.0,0.0,0.0,0.0,0.0,55.620000000000005,3.0,7.0
43,70.72,34.09,35.91,62.88,0,1.0,70.72,43,0.0348756494701648,0,60.415333333333336,57.1075,57.1075,15.260740651507,73.73133333333332,69.10431818181819,69.10431818181819,12.801979207034206,56.79295454545454,57.1075,0.0,0.0,0.0,0.0,0.0,0.0,29.28,3.0,7.0
44,70.17,34.1,38.87,45.19,0,1.0,70.17,44,0.0348756494701648,0,62.111999999999995,57.39777777777778,57.39777777777778,15.211475914419008,71.86666666666666,68.5728888888889,68.5728888888889,13.148180590039173,56.39466666666667,57.39777777777778,0.0,0.0,0.0,0.0,0.0,0.0,-3.3999999999999915,3.0,7.0
45,72.92,41.45,67.54,55.53,0,1.0,72.92,45,0.0348756494701648,0,62.65333333333333,57.73521739130435,57.73521739130435,15.21462567387497,69.77733333333335,68.28934782608695,68.28934782608695,13.142723783679937,56.63695652173914,57.73521739130435,0.0,0.0,0.0,0.0,0.0,0.0,-22.189999999999998,3.0,7.0
46,71.32,36.0,74.78,68.59,0,1.0,71.32,46,0.0348756494701648,0,64.42933333333333,58.024255319148935,58.024255319148935,15.178243403074031,70.01666666666667,68.29574468085107,68.29574468085107,12.99915712061511,57.02297872340425,58.024255319148935,0.0,0.0,0.0,0.0,0.0,0.0,25.159999999999997,3.0,7.0
47,61.59,42.42,44.66,60.21,0,1.0,61.59,47,0.0348756494701648,0,63.87466666666667,58.09854166666667,58.09854166666667,15.02472217884306,69.444,68.12729166666666,68.12729166666666,12.912973146707488,56.76541666666666,58.09854166666667,0.0,0.0,0.0,0.0,0.0,0.0,1.1100000000000065,3.0,7.0
48,95.5,24.56,91.62,76.54,0,1.0,95.5,48,0.0411667397867461,0,68.12133333333334,58.86183673469388,58.86183673469388,15.798343620122202,69.964,68.29897959183674,68.29897959183674,12.834149148024638,57.47673469387755,58.86183673469388,0.0,0.0,0.0,0.0,0.0,0.0,41.03,4.0,7.0
49,98.22,24.21,95.59,94.38,0,0.7,83.49,49,0.0462380937655267,0,69.92733333333334,59.648999999999994,59.648999999999994,16.597449675003862,72.13333333333334,68.8206,68.8206,13.227178021337858,58.239,59.3544,0.0,0.0,0.0,1.0,0.0,0.0,36.54,5.0,8.0
50,48.53,60.64,77.36,56.21,0,0.7,41.25,50,0.0462380937655267,0,69.39133333333332,59.43098039215686,59.43098039215686,16.504241546330082,70.69133333333335,68.57333333333334,68.57333333333334,13.21276862230875,58.61392156862745,58.999411764705876,0.0,0.0,0.0,2.0,0.0,0.0,-11.009999999999998,5.0,8.0
51,51.21,65.32,35.56,88.11,0,0.7,43.53,51,0.0500321833468671,0,66.78866666666666,59.27288461538462,59.27288461538462,16.381352542561324,70.74266666666666,68.94903846153846,68.94903846153846,13.360172045918082,58.17057692307692,58.70192307692308,0.0,0.0,0.0,3.0,0.0,0.0,-25.630000000000003,5.0,9.0
52,35.88,52.46,67.3,58.72,0,0.7,30.49,52,0.0500321833468671,0,65.35,58.83150943396227,58.83150943396227,16.538234418395273,69.196,68.75603773584906,68.75603773584906,13.305481134830034,58.342830188679244,58.16962264150943,0.0,0.0,0.0,4.0,0.0,0.0,-27.119999999999997,5.0,9.0
53,98.91,20.61,92.92,88.4,0,0.7,84.07,53,0.0580786960249625,0,67.90466666666667,59.57370370370371,59.57370370370371,17.265532060857968,70.74600000000001,69.11981481481482,69.11981481481482,13.447734113792112,58.98314814814815,58.64925925925926,0.0,0.0,0.0,5.0,0.0,0.0,51.959999999999994,6.0,10.0
54,56.15,51.47,64.79,86.49,0,0.7,47.73,54,0.0660307534453454,0,69.07066666666667,59.51145454545455,59.51145454545455,17.11114770034131,70.63933333333333,69.43563636363636,69.43563636363636,13.526955087505613,59.088727272727276,58.45072727272727,0.0,0.0,0.0,6.0,0.0,0.0,21.939999999999998,6.0,11.0
55,74.51,42.78,61.01,102.32,0,0.7,63.34,55,0.0721490340045997,0,70.36066666666666,59.77928571428571,59.77928571428571,17.07293103207455,72.674,70.02285714285715,70.02285714285715,14.105389519842886,59.12303571428571,58.53803571428572,0.0,0.0,0.0,7.0,0.0,0.0,8.900000000000006,6.0,12.0
56,33.89,68.72,79.31,32.82,0,0.7,28.8,56,0.0721490340045997,0,68.702,59.325087719298246,59.325087719298246,17.263798738028893,70.934,69.37017543859649,69.37017543859649,14.821968310974384,59.47719298245614,58.01631578947368,0.0,0.0,0.0,8.0,0.0,0.0,-24.53,6.0,12.0
57,75.55,61.13,77.49,82.85,0,0.7,64.21,57,0.0721490340045997,0,67.67133333333332,59.604827586206895,59.604827586206895,17.243803284778505,70.616,69.60258620689655,69.60258620689655,14.797613909165177,59.78775862068966,58.12310344827586,0.0,0.0,0.0,9.0,0.0,0.0,16.699999999999996,6.0,12.0
58,73.3,22.26,31.32,77.06,0,0.7,62.31,58,0.0721490340045997,0,67.84333333333333,59.836949152542374,59.836949152542374,17.18723345917337,71.56133333333334,69.72898305084746,69.72898305084746,14.701586202822405,59.30525423728814,58.19406779661016,0.0,0.0,0.0,10.0,0.0,0.0,34.44,6.0,12.0
59,71.92,43.43,50.74,57.73,0,0.7,61.13,59,0.0721490340045997,0,67.96,60.038333333333334,60.038333333333334,17.112204205430743,72.39733333333334,69.529,69.529,14.658543491361465,59.1625,58.243,0.0,0.0,0.0,11.0,0.0,0.0,27.200000000000003,6.0,12.0
60,79.99,69.83,57.77,75.36,0,0.7,67.99,60,0.0721490340045997,0,68.43133333333334,60.559333333333335,60.365409836065574,17.237488006329738,73.71933333333332,69.7395,69.62459016393443,14.649935781082132,59.01533333333334,58.564,0.0,0.0,0.0,12.0,0.0,12.630000000000003,15.189999999999998,6.0,12.0
61,41.43,53.59,60.91,39.03,0,0.7,35.22,61,0.0721490340045997,0,66.43866666666666,60.15983333333333,60.059999999999995,17.40039542621663,71.74866666666667,69.31066666666668,69.13112903225807,15.165672976698337,58.722166666666666,58.061,0.0,0.0,0.0,13.0,0.0,-25.730000000000004,-3.25,6.0,12.0
62,68.62,46.01,72.61,88.53,0,1.0,68.62,62,0.0791247202829678,0,66.90733333333333,60.55,60.19587301587302,17.32177771046746,73.63666666666667,69.99416666666666,69.43904761904761,15.090899636408633,59.07233333333333,58.45116666666666,0.0,0.0,0.0,13.0,0.0,41.01,-1.289999999999992,6.0,13.0
63,61.02,55.2,40.65,73.6,0,1.0,61.02,63,0.0791247202829678,0,64.60866666666666,60.412666666666674,60.20875,17.284175271104488,73.44066666666667,69.96383333333333,69.5040625,15.08163493044243,58.821333333333335,58.313833333333335,0.0,0.0,0.0,13.0,0.0,-1.8200000000000074,29.220000000000002,6.0,13.0
64,49.61,41.87,75.21,87.75,0,1.0,49.61,64,0.087072323401256,0,61.36800000000001,60.68533333333333,60.045692307692306,16.97468029370351,72.99866666666667,70.57566666666666,69.78476923076923,15.045503226699758,58.77016666666667,58.5865,0.0,0.0,0.0,13.0,0.0,36.71,-21.519999999999996,6.0,14.0
65,37.35,66.33,54.61,63.99,0,1.0,37.35,65,0.087072323401256,0,60.62266666666666,60.39516666666667,59.70181818181818,17.22464872502673,73.51733333333333,70.64716666666666,69.6969696969697,15.003077095870461,58.42250000000001,58.29633333333333,0.0,0.0,0.0,13.0,0.0,4.289999999999999,-19.22,6.0,14.0
66,91.29,51.67,86.92,66.47,0,1.0,91.29,66,0.0936101120938612,0,63.29466666666667,60.961000000000006,60.17328358208955,17.674346793482105,72.07466666666666,70.47266666666668,69.64880597014925,14.989526837170676,58.56316666666667,58.86216666666667,0.0,0.0,0.0,13.0,0.0,-10.469999999999999,1.0400000000000063,7.0,14.0
67,38.62,29.61,32.04,67.13,0,1.0,38.62,67,0.0936101120938612,0,63.477333333333334,60.8335,59.85632352941177,17.80920013858767,72.63533333333334,70.50783333333334,69.61176470588236,14.97898902380068,58.370999999999995,58.734666666666676,0.0,0.0,0.0,13.0,0.0,2.1099999999999994,-18.840000000000003,7.0,14.0
68,36.03,43.04,40.32,89.59,0,1.0,36.03,68,0.0972189072536055,0,59.285333333333334,60.8165,59.511014492753624,17.832759021588156,72.71466666666667,71.15633333333332,69.90130434782608,14.948266490581654,58.48083333333333,58.717666666666666,0.0,0.0,0.0,13.0,0.0,38.910000000000004,-24.560000000000002,7.0,15.0
69,73.68,66.04,33.05,78.06,0,1.0,73.68,69,0.0972189072536055,0,60.45399999999999,60.937000000000005,59.713428571428565,17.89578705274758,72.15266666666666,71.09716666666667,70.01785714285714,14.913173006583603,58.470000000000006,58.838166666666666,0.0,0.0,0.0,13.0,0.0,-3.549999999999997,35.02000000000001,7.0,15.0
70,40.47,38.52,54.23,52.1,0,1.0,40.47,70,0.0972189072536055,0,58.184666666666665,60.835833333333326,59.44239436619718,17.99543391159731,68.80466666666668,70.74666666666667,69.76549295774649,15.11041280512359,58.61466666666667,58.736999999999995,0.0,0.0,0.0,13.0,0.0,-21.029999999999994,-14.689999999999998,7.0,15.0
71,65.67,64.76,55.58,41.32,0,1.0,65.67,71,0.0972189072536055,0,60.303333333333335,60.836,59.528888888888886,17.995479394672085,69.37133333333333,69.895,69.37041666666667,15.306930467568703,58.57333333333334,58.73716666666667,0.0,0.0,0.0,13.0,0.0,-51.1,6.899999999999999,7.0,15.0
72,93.22,33.46,88.17,70.49,0,1.0,93.22,72,0.1043647634466422,0,61.481333333333325,61.79983333333334,59.990410958904114,18.15744956066304,68.54733333333334,69.9045,69.38575342465754,15.30712312584669,59.0125,59.701,0.0,0.0,0.0,13.0,0.0,0.5699999999999932,2.2099999999999937,8.0,15.0
73,54.92,24.35,56.86,60.71,0,1.0,54.92,73,0.1043647634466422,0,60.256,62.024499999999996,59.921891891891896,17.983828086008785,67.45733333333334,69.92800000000001,69.26851351351351,15.291641319272701,59.218666666666664,59.925666666666665,0.0,0.0,0.0,13.0,0.0,1.4100000000000037,-15.799999999999997,8.0,15.0
74,44.19,38.15,62.3,42.08,0,1.0,44.19,74,0.1043647634466422,0,58.407333333333334,61.53483333333333,59.712133333333334,18.06394043500885,66.414,69.02799999999999,68.90599999999999,15.315444381739939,59.6015,59.436,0.0,0.0,0.0,13.0,0.0,-54.0,-25.980000000000004,8.0,15.0
75,38.03,29.33,44.25,68.16,0,1.0,38.03,75,0.1043647634466422,0,55.61000000000001,60.5835,59.426842105263155,17.766343139749434,65.934,68.716,68.89618421052631,15.135224511613599,58.818,58.48466666666666,0.0,0.0,0.0,13.0,0.0,-18.72,-34.89,8.0,15.0
76,50.52,69.12,35.6,60.03,0,1.0,50.52,76,0.1043647634466422,0,56.216,60.656166666666664,59.31116883116883,17.715192090948626,67.334,68.66616666666667,68.78103896103896,15.159200047279747,58.3255,58.55733333333333,0.0,0.0,0.0,13.0,0.0,-2.990000000000002,-20.79999999999999,8.0,15.0
77,57.84,48.58,44.0,80.89,0,1.0,57.84,77,0.1043647634466422,0,55.49733333333334,60.61216666666667,59.292307692307695,17.718915210670705,66.82466666666667,69.28366666666666,68.93628205128205,14.882867293302606,58.516,58.51333333333333,0.0,0.0,0.0,13.0,0.0,37.05,-3.75,8.0,15.0
78,55.38,32.12,35.74,76.51,0,1.0,55.38,78,0.1043647634466422,0,55.12133333333333,60.62733333333333,59.24278481012659,17.713957425815824,67.01866666666666,69.6035,69.03215189873417,14.827503970090543,58.410000000000004,58.5285,0.0,0.0,0.0,13.0,0.0,19.190000000000005,-40.12,8.0,15.0
79,99.9,36.83,89.84,60.29,0,1.0,99.9,79,0.1113659027460907,0,58.474000000000004,61.26433333333333,59.751,18.42536988720242,65.188,69.25533333333333,68.922875,14.796294940112617,59.332166666666666,59.1655,0.0,0.0,0.0,13.0,0.0,-20.890000000000008,1.6800000000000068,9.0,15.0
80,59.78,43.58,50.59,72.49,0,1.0,59.78,80,0.1113659027460907,0,59.96933333333334,61.26833333333334,59.751358024691356,18.425015251164638,65.75466666666667,69.14383333333333,68.96691358024691,14.745357452853742,59.661500000000004,59.1695,0.0,0.0,0.0,13.0,0.0,-6.690000000000012,11.25,9.0,15.0
81,58.72,62.09,36.99,72.71,0,1.0,58.72,81,0.1113659027460907,0,57.798,60.96633333333333,59.738780487804874,18.31362139776196,66.17066666666666,69.43366666666665,69.01256097560976,14.6395606313928,59.49383333333333,58.8675,0.0,0.0,0.0,13.0,0.0,17.389999999999993,7.509999999999998,9.0,15.0
82,70.73,53.26,56.15,71.23,0,1.0,70.73,82,0.1113659027460907,0,59.93866666666667,61.095166666666664,59.87120481927711,18.355312581695554,66.444,69.50983333333333,69.03927710843374,14.636773342169937,59.467,58.99633333333334,0.0,0.0,0.0,13.0,0.0,4.570000000000007,34.85,9.0,15.0
83,53.13,35.07,67.38,80.65,0,1.0,53.13,83,0.1113659027460907,0,61.07866666666667,61.198166666666665,59.790952380952376,18.29182187288566,65.848,69.85933333333332,69.1775,14.648434620673918,59.485,59.099333333333334,0.0,0.0,0.0,13.0,0.0,20.970000000000006,-45.779999999999994,9.0,15.0
84,57.18,65.32,61.21,73.55,0,1.0,57.18,84,0.1113659027460907,0,59.97866666666666,61.581,59.76023529411765,17.954672183594404,65.54733333333334,70.096,69.22894117647058,14.590358924965557,59.25633333333334,59.48216666666667,0.0,0.0,0.0,13.0,0.0,14.199999999999996,1.0300000000000011,9.0,15.0
85,61.0,46.67,74.69,79.27,0,1.0,61.0,85,0.1113659027460907,0,61.34733333333334,61.50416666666667,59.7746511627907,17.947000815647048,67.35866666666666,70.56033333333335,69.3456976744186,14.42801840660189,59.730000000000004,59.40533333333334,0.0,0.0,0.0,13.0,0.0,27.86,-13.510000000000005,9.0,15.0
86,67.2,21.68,58.49,65.5,0,1.0,67.2,86,0.1113659027460907,0,61.449333333333335,61.6505,59.86,17.95721897469328,68.97066666666666,70.33116666666668,69.30149425287355,14.396822164850398,59.898333333333326,59.55166666666666,0.0,0.0,0.0,13.0,0.0,-13.75,33.31,9.0,15.0
87,36.37,39.86,69.86,72.64,0,1.0,36.37,87,0.1113659027460907,0,57.65933333333334,61.27583333333334,59.593068181818175,18.248788888689422,69.114,70.4645,69.33943181818182,14.380256878142198,60.4,59.17700000000001,0.0,0.0,0.0,13.0,0.0,8.0,-39.18,9.0,15.0
